"行政區域","綜合所得中位數","平均教育程度","有偶比例","女男比","扶老比","每戶平均用電度數","cluster"
"北投區八仙里",-0.696549726054618,-0.608260146206985,-0.473815161094035,-0.565227954711711,-0.940300626097779,0.117243631519529,"8"
"北投區大同里",-0.680809659398808,-0.638490652933182,-0.313376683945544,-0.855627689963418,-0.767552338352059,0.0860760296296591,"8"
"北投區大屯里",-1.30254229230328,-1.87707769994366,-1.08299491092083,-2.70608181691615,0.461396749392262,0.399810286389011,"3"
"北投區稻香里",-0.838210325956902,-0.931726568177294,-0.707924988529229,-1.32296865925221,-0.722789175991873,-0.487584265532003,"2"
"北投區東華里",-0.373878359610525,-0.220445931348057,-0.133409689959678,0.580162628978737,-0.504209567151517,-0.111404542250378,"8"
"北投區豐年里",-1.03496115915452,-1.33724722269014,-0.574667526054901,-0.372078363358251,-0.640473067226841,-0.851929121114881,"2"
"北投區福興里",-0.405358492922144,-0.402260836087042,0.494694440866135,0.473457609979273,-0.912227121782713,-0.249527004399117,"8"
"北投區關渡里",-0.743769926022046,-0.96800317624873,-0.639594272123926,-0.784040778482764,-0.543119473436403,0.08048938400789,"2"
"北投區湖山里",-0.956260825875473,-1.64473466253374,-1.45558344061605,-2.09151493533696,2.06642943369597,-0.442339786845176,"9"
"北投區湖田里",-1.15301165907309,-2.13058209206191,-0.750798567883179,-3.30984312695109,0.114146300822253,-1.60182603309485,"3"
"北投區吉利里",-0.11416725978967,-0.205762542366761,0.195468566792384,-0.165421807574478,-0.650844052806838,-0.641841842338352,"8"
"北投區吉慶里",-0.0905571598059561,-0.174236442495156,0.561190025192986,0.495068753067773,-0.645935355685076,-0.276320850835102,"5"
"北投區建民里",-0.342398226298906,-0.240311692910986,0.114159883383561,-0.257269165700601,0.455597591167266,-0.0228268057473274,"4"
"北投區開明里",-0.452578692889572,-0.401397107323436,-0.289700848847899,0.0344812659941369,-0.258726467018409,-0.939146950460001,"8"
"北投區立農里",-0.51553895951281,-0.51238625344676,0.238003304132693,-0.286984487447287,-1.42867084387469,-0.336928604981794,"8"
"北投區立賢里",-0.680809659398808,-0.503317101428901,0.166576332137248,0.427533930916212,-1.01656979720234,-0.0815968475184383,"8"
"北投區林泉里",-0.759509992677855,-0.62121607766107,-1.05843189211512,-0.569280044040804,0.258168851132101,-1.30139681393472,"2"
"北投區奇岩里",-0.310918092987288,-0.411329988104901,-0.484967779887983,-0.705700384786955,-0.668456922932421,-0.390038492636113,"8"
"北投區清江里",-0.90117059258014,-1.43484857297757,-1.54625700386944,-1.65523998423788,-0.424170379857068,-0.909559781213131,"3"
"北投區泉源里",-1.19236182571261,-1.67798821993256,-2.11718770474548,-2.42378626032263,0.167100374073027,-0.190903979618053,"3"
"北投區榮光里",-0.413228526250049,-0.626398450242703,0.472145845512443,0.235735036005783,-0.582437285988107,-0.48302673884056,"8"
